last_edited,name,id,gender,species,approx_breed_mix,intake_date,adoption_date,approx_date_of_birth,weight,fur_color,fur_length_type,prev_location,extraversion_towards_same_species,extraversion_towards_humans,openness,energy,affection,make_visible,description,location
3/12/2019,Ambrosia,D2017201,F,Dog,Shepherd mix,3/22/2017,,9/16/2015,44,Tan,Medium,Hollister Police Animal Care & Services,1,2,2,3,3,Y,"""Do you need an enthusiastic walking partner who looks like a million dollars on the other end of the leash?  Meet Ambrosia.  After she’s gotten some of her energy out, she enjoys training games that provide mental and physical enrichment.  She’s not a big snuggler — don’t take it personally, but she does enjoy being brushed and massaged when she’s in the right mood.  We’re looking for a very dog-savvy adopter with consistency and above average dog-training ability.  Does this sound like you?  Please call us.  Ambrosia needs a real home — she has been patiently waiting for you for way too long.""",Pets In Need Redwood City
3/12/2019,Daisy,D2017018,F,Dog,Doberman mix,1/6/2017,12/12/2018,10/27/2016,38,Black/brown,Short,Hollister Police Animal Care & Services,3,4,3,4,4,Y,"""Daisy, our tennis ball-chasing, hurdle-jumping, athletic girl, finally found her perfect family almost two years after she was first brought to PIN. She found a home with humans who had experience training active, teachable dogs like her. And she is fitting right in and even has her own couch. Her family says, ""We absolutely love having her!!""""",Pets In Need Redwood City
3/12/2019,Obie,D2017586,M,Dog,Terrier mix,11/01/2017,11/09/2018,10/10/2013,41,Tan,Wirehaired,Selma Second Chance Animal Shelter,2,3,3,1,5,Y,"""Although Obie had a few reactivity issues, he was very affectionate and loving with those he knew well. After a 10-month stay at our shelter and many hours working with our behavior team, Obie was finally adopted! He quickly made himself right at home with his new family and is very happy.""",Pets In Need Redwood City
3/5/2019,Caliber,D2017544,M,Dog,Terrier mix,09/08/2017,9/7/2018,9/1/2013,17,Brown,Short,Hollister Police Animal Care & Services,5,4,4,5,4,Y,"""After 364 days at our shelter, Caliber was finally adopted by a couple who fell head over heels for him. He now goes by Cal and is adored by his family.""",Pets In Need Redwood City
3/12/2019,Amore,D2018036,M,Dog,Chihuahua mix,2/9/2018,,8/1/2016,6,Tan,Wireharied,Hollister Police Animal Care & Services,4,2,2,3,3,N,,Pets In Need Redwood City
3/12/2019,Skippy,D2018292,M,Dog,Border Collie mix,8/15/2018,6/1/2019,8/24/2017,41,Black,Short,Selma Second Chance Animal Shelter,3,5,4,3,5,Y,"""The heterochromatic young man you see here is none other than the loving and energetic Skippy. Now, we know the word ""energetic"" might turn potential adopters away, but we have a solution! One of Skippy's fave activities is heading out to the yard and trying to fetch as many tennis balls as he can in 20 minutes. He's always trying to break his personal record and that will tire him out pretty quickly. After fetch, he will gratefully snuggle on the couch with his humans. If reading this piqued your interest in learning more about Skippy, come on down to our Redwood City location!""",Pets In Need Redwood City
3/12/2019,Larry,D2018253,M,Dog,Terrier/shepherd mix,7/23/2018,2/6/2019,3/25/2018,22,Brown,Short,Selma Second Chance Animal Shelter,5,1,1,3,2,Y,"""Larry came to PIN as a shy and fearful puppy. With the help of our behavior team, Larry gained confidence in noisy and busy environments, learned to play with other dogs, and began to trust humans. He found his home after 6 months with us. Larry is now known as Dexter, is bonding with his doggy brother, and is admired and adored by his family.""",Pets In Need Redwood City
3/12/2019,Paris,D2018360,F,Dog,Terrier mix,9/17/2018,12/26/2018,2/28/2018,17,Brown,Short,Madera County Animal Services,5,2,2,3,2,N,,Pets In Need Redwood City
3/12/2019,Catelyn,C2016123,F,Cat,Domestic short-hair,3/29/2016,3/20/2018,3/31/2015,10,Black,Short,San Jose Animal Care Center,1,1,1,2,2,Y,"""Many animals don't thrive in the shelter environment and Catelyn was one of them. The noise, strangers, and living next door to other cats all made Catelyn pretty cranky. Luckily, a woman came by the shelter looking to see if she can help an unfriendly cat blossom. She took Catelyn home as a foster, fell in love, and couldn't bear the thought of having to bring Catelyn back to the shelter. The woman ended up adopting Catelyn and renamed her to Noodle. Noodle is now a happy, affectionate cat who got the loving family she deserved.""",Pets In Need Redwood City
3/5/2019,Hope,C2017506,F,Cat,Domestic short-hair,08/31/2017,08/03/2018,9/1/2012,11,Grey,Short,,1,1,2,2,2,Y,"""Hope was another one of our residents who didn't thrive in the hustle and bustle of the shelter environment. Fortunately, her adopters discovered her through our youth programs and were determined to adopt her because of her unfriendly personality! Hope now lives with that family in a lovely home on the coast. She has her own room with a queen-sized bed to sprawl out on and is loved dearly.""",Pets In Need Redwood City
